customer_id,first_name,last_name,phone,risk_tier,created_at,account_id,account_type,status,balance
CUST_0001,User1,Client1,+1-555-884-9540,HIGH,1700086400,ACCT_0001,checking,ACTIVE,12372.63
CUST_0002,User2,Client2,+1-555-179-5681,HIGH,1700172800,ACCT_0002,checking,ACTIVE,6245.09
CUST_0003,User3,Client3,+1-555-241-3471,HIGH,1700259200,ACCT_0003,checking,ACTIVE,6165.91
CUST_0004,User4,Client4,+1-555-524-7678,HIGH,1700345600,ACCT_0004,checking,ACTIVE,8606.59
CUST_0005,User5,Client5,+1-555-311-7883,HIGH,1700432000,ACCT_0005,checking,ACTIVE,10042.18
CUST_0006,User6,Client6,+1-555-588-1096,HIGH,1700518400,ACCT_0006,checking,ACTIVE,23597.17
CUST_0007,User7,Client7,+1-555-651-9947,HIGH,1700604800,ACCT_0007,checking,ACTIVE,20096.77
CUST_0008,User8,Client8,+1-555-379-8140,HIGH,1700691200,ACCT_0008,checking,ACTIVE,12398.23
CUST_0009,User9,Client9,+1-555-841-3704,HIGH,1700777600,ACCT_0009,checking,ACTIVE,21092.39
CUST_0010,User10,Client10,+1-555-706-1444,HIGH,1700864000,ACCT_0010,checking,ACTIVE,2556.71
CUST_0011,User11,Client11,+1-555-286-1823,HIGH,1700950400,ACCT_0011,checking,ACTIVE,6873.83
CUST_0012,User12,Client12,+1-555-434-6529,HIGH,1701036800,ACCT_0012,checking,ACTIVE,19150.13
CUST_0013,User13,Client13,+1-555-358-2341,HIGH,1701123200,ACCT_0013,checking,ACTIVE,12022.52
CUST_0014,User14,Client14,+1-555-329-2124,HIGH,1701209600,ACCT_0014,checking,ACTIVE,19640.21
CUST_0015,User15,Client15,+1-555-353-4266,HIGH,1701296000,ACCT_0015,checking,ACTIVE,21061.11
CUST_0016,User16,Client16,+1-555-229-8758,LOW,1701382400,ACCT_0016,checking,ACTIVE,16901.74
CUST_0017,User17,Client17,+1-555-816-5198,LOW,1701468800,ACCT_0017,checking,ACTIVE,19289.0
CUST_0018,User18,Client18,+1-555-418-2771,LOW,1701555200,ACCT_0018,checking,ACTIVE,14677.78
CUST_0019,User19,Client19,+1-555-832-4249,LOW,1701641600,ACCT_0019,checking,ACTIVE,2361.91
CUST_0020,User20,Client20,+1-555-813-5941,LOW,1701728000,ACCT_0020,checking,ACTIVE,21332.18
CUST_0021,User21,Client21,+1-555-455-9728,LOW,1701814400,ACCT_0021,checking,ACTIVE,10995.26
CUST_0022,User22,Client22,+1-555-112-7882,LOW,1701900800,ACCT_0022,checking,ACTIVE,20647.11
CUST_0023,User23,Client23,+1-555-750-8532,LOW,1701987200,ACCT_0023,checking,ACTIVE,17829.06
CUST_0024,User24,Client24,+1-555-730-9817,LOW,1702073600,ACCT_0024,checking,ACTIVE,19478.72
CUST_0025,User25,Client25,+1-555-430-5022,LOW,1702160000,ACCT_0025,checking,ACTIVE,20852.91
CUST_0026,User26,Client26,+1-555-349-8613,LOW,1702246400,ACCT_0026,checking,ACTIVE,14461.32
CUST_0027,User27,Client27,+1-555-129-9098,LOW,1702332800,ACCT_0027,checking,ACTIVE,21348.34
CUST_0028,User28,Client28,+1-555-463-5232,LOW,1702419200,ACCT_0028,checking,ACTIVE,8838.3
CUST_0029,User29,Client29,+1-555-629-4130,LOW,1702505600,ACCT_0029,checking,ACTIVE,2597.52
CUST_0030,User30,Client30,+1-555-807-8800,LOW,1702592000,ACCT_0030,checking,ACTIVE,16324.62
CUST_0031,User31,Client31,+1-555-195-5820,LOW,1702678400,ACCT_0031,checking,ACTIVE,5929.11
CUST_0032,User32,Client32,+1-555-584-9698,LOW,1702764800,ACCT_0032,checking,ACTIVE,8922.06
CUST_0033,User33,Client33,+1-555-819-8434,LOW,1702851200,ACCT_0033,checking,ACTIVE,7137.45
CUST_0034,User34,Client34,+1-555-838-4155,LOW,1702937600,ACCT_0034,checking,ACTIVE,8230.92
CUST_0035,User35,Client35,+1-555-321-8933,LOW,1703024000,ACCT_0035,checking,ACTIVE,7274.24
